,TeenBirthRate,ZipCode,TotalBirths2012-2014,PrematureBirth,LowBirthWeight
0,5.6,14008,34.0,2.9,0.0
1,13.6,14012,67.0,10.4,6.0
2,5.1,14028,47.0,8.5,10.6
3,11.7,14067,120.0,5.8,6.7
4,3.8,14092,219.0,8.7,5.5
5,20.8,14094,1578.0,12.4,7.5
6,12.7,14105,131.0,11.5,4.6
7,6.5,14108,127.0,10.2,9.4
8,14.3,14120,1249.0,11.9,9.0
9,16.5,14131,136.0,16.3,9.6
10,17.9,14132,140.0,8.6,5.0
11,15.6,14172,78.0,15.4,5.1
12,2.0,14174,97.0,14.4,5.2
13,68.3,14301,638.0,18.3,10.7
14,59.5,14303,270.0,17.4,9.3
15,18.7,14304,878.0,15.3,8.9
16,39.0,14305,677.0,17.4,13.0
17,21.7,Total,6486.0,13.7,8.7
18,7.9,14001,230.0,12.3,7.4
19,8.1,14004,267.0,12.0,8.6
20,15.9,14006,238.0,13.4,11.8
21,6.3,14025,87.0,4.6,4.6
22,,14026,25.0,4.0,0.0
23,5.8,14030,48.0,12.5,10.4
24,1.0,14031,182.0,6.0,5.5
25,0.0,14032,179.0,9.0,6.7
26,4.7,14033,46.0,2.2,2.2
27,39.2,14034,66.0,10.6,7.6
28,7.9,14043,679.0,12.1,5.7
29,6.5,14047,149.0,8.1,2.7
30,1.4,14051,419.0,9.8,6.4
31,2.8,14052,378.0,8.7,4.5
32,14.2,14055,28.0,14.3,3.6
33,5.9,14057,179.0,5.6,3.4
34,1.1,14059,173.0,8.1,5.2
35,2.5,14068,145.0,6.9,7.6
36,,14069,15.0,6.7,0.0
37,27.9,14070,140.0,12.1,9.3
38,6.5,14072,522.0,11.5,6.7
39,7.6,14075,1100.0,9.6,7.0
40,7.2,14080,106.0,6.7,3.8
41,19.1,14081,95.0,14.7,7.4
42,3.9,14085,236.0,6.8,7.2
43,3.4,14086,888.0,9.1,6.3
44,37.0,14091,49.0,14.3,2.0
45,0.0,14102,23.0,21.7,8.7
46,12.0,14111,115.0,13.9,5.2
47,1.4,14127,698.0,12.1,8.7
48,4.5,14139,64.0,9.7,4.7
49,15.3,14141,198.0,6.6,8.1
50,18.2,14150,1285.0,11.1,6.8
51,13.0,14170,51.0,7.8,7.8
52,62.0,14201,554.0,16.8,10.1
53,57.7,14202,113.0,12.4,7.1
54,38.8,14203,61.0,18.0,13.1
55,48.1,14204,396.0,17.7,13.6
56,42.3,14206,850.0,12.7,10.6
57,66.6,14207,1363.0,13.7,9.0
58,27.9,14208,375.0,13.9,12.0
59,38.9,14209,254.0,13.0,11.8
60,40.6,14210,653.0,12.3,9.6
61,66.6,14211,1174.0,16.5,12.5
62,66.7,14212,604.0,15.6,12.1
63,42.4,14213,1474.0,15.7,9.7
64,14.8,14214,610.0,17.6,11.6
65,57.9,14215,1856.0,14.7,11.9
66,21.1,14216,857.0,13.4,10.4
67,13.4,14217,774.0,8.4,5.8
68,34.9,14218,842.0,11.9,9.9
69,17.5,14219,349.0,10.9,6.6
70,26.0,14220,1021.0,10.6,6.5
71,2.1,14221,1225.0,7.8,5.6
72,4.1,14222,267.0,10.9,6.4
73,11.9,14223,742.0,12.0,7.0
74,7.4,14224,1041.0,10.5,6.9
75,24.3,14225,1160.0,12.8,8.0
76,6.3,14226,999.0,9.9,7.7
77,8.9,14227,680.0,10.9,7.4
78,3.9,14228,653.0,9.0,6.1
80,66.5,14048,599.0,14.5,9.3
81,12.7,14062,80.0,16.3,8.8
82,4.1,14063,259.0,13.9,8.9
83,13.7,14136,175.0,8.0,6.3
84,47.7,14701,1549.0,11.1,7.7
85,24.0,14710,99.0,5.5,5.1
86,14.8,14712,59.0,10.2,8.5
87,34.6,14716,72.0,13.9,8.3
88,27.1,14718,54.0,17.0,9.3
89,17.2,14723,32.0,4.3,3.1
90,12.9,14724,109.0,9.5,6.4
91,9.3,14728,34.0,7.1,2.9
92,31.3,14733,123.0,3.6,3.3
93,,14736,13.0,7.7,0.0
94,8.5,14738,111.0,10.4,9.0
95,21.3,14740,30.0,4.2,6.7
96,23.3,14747,73.0,18.8,5.5
97,12.7,14750,95.0,11.6,2.1
98,9.3,14757,95.0,6.8,4.2
99,13.9,14767,93.0,11.2,3.2
100,,14769,24.0,16.7,20.8
101,51.3,14775,78.0,12.8,9.0
102,30.7,14781,68.0,4.4,2.9
103,21.6,14782,82.0,14.6,13.4
104,0.0,14784,42.0,10.5,4.8
105,21.1,14787,132.0,7.6,2.3
107,2.7,12009,193.0,3.1,4.7
108,5.7,12023,55.0,10.9,7.3
109,,12041,11.0,18.2,0.0
110,,12046,15.0,6.7,6.7
111,29.6,12047,719.0,10.3,7.5
112,3.5,12054,414.0,10.6,8.0
113,5.8,12059,40.0,12.5,5.0
114,7.6,12067,36.0,5.6,5.6
115,1.3,12077,151.0,9.3,5.3
116,3.7,12084,194.0,11.3,10.3
117,4.8,12110,479.0,11.9,7.7
118,,12120,23.0,17.4,13.0
119,21.4,12143,186.0,9.7,9.1
120,,12147,12.0,8.3,0.0
121,7.8,12158,220.0,10.9,6.4
122,1.3,12159,142.0,4.2,2.1
123,19.6,12183,94.0,7.5,8.5
124,3.6,12186,129.0,5.4,2.3
125,18.7,12189,662.0,10.6,8.0
126,9.8,12193,55.0,9.1,3.6
127,52.7,12202,547.0,13.0,12.1
128,2.9,12203,715.0,10.1,5.6
129,20.6,12204,293.0,11.9,9.9
130,16.0,12205,805.0,11.9,8.9
131,63.1,12206,885.0,12.7,11.1
132,31.5,12207,80.0,18.8,18.8
133,17.0,12208,712.0,10.1,6.3
134,27.0,12209,431.0,9.7,8.1
135,59.6,12210,425.0,13.9,12.2
136,2.6,12211,240.0,15.4,7.9
137,,12469,11.0,0.0,0.0
139,,14060,17.0,23.5,17.6
140,29.0,14709,74.0,14.3,5.4
141,71.4,14711,75.0,11.0,5.3
142,,14714,17.0,5.9,5.9
143,22.7,14715,118.0,13.6,11.0
144,0.0,14717,13.0,0.0,0.0
145,,14721,11.0,9.1,18.2
146,24.9,14727,152.0,12.1,10.5
147,25.9,14735,140.0,4.5,2.9
148,45.1,14739,104.0,10.6,7.7
149,2.2,14744,44.0,10.0,4.5
150,43.0,14754,15.0,26.7,20.0
151,,14777,22.0,13.6,0.0
152,0.0,14802,19.0,5.3,5.3
153,0.0,14803,41.0,4.9,2.4
154,14.7,14804,36.0,2.8,0.0
155,17.3,14806,68.0,5.9,5.9
156,15.7,14813,53.0,13.2,3.8
157,8.5,14822,35.0,11.4,5.7
158,18.9,14880,47.0,10.6,4.3
159,27.9,14895,281.0,9.0,6.4
160,,14897,35.0,17.1,11.4
162,11.1,13744,39.0,15.4,15.4
163,11.6,13746,67.0,10.6,9.0
164,19.3,13748,98.0,8.2,6.1
165,26.8,13754,90.0,11.1,4.4
166,20.5,13760,1419.0,9.6,7.6
167,,13777,30.0,10.0,3.3
168,30.3,13787,102.0,5.9,4.9
169,31.8,13790,695.0,8.8,5.8
170,10.7,13795,132.0,9.9,9.8
171,23.0,13797,93.0,12.9,7.5
172,,13802,13.0,0.0,7.7
173,,13813,27.0,3.7,11.1
174,9.5,13833,107.0,4.7,2.8
175,2.1,13850,525.0,9.7,7.0
176,25.1,13862,159.0,6.3,8.2
177,28.2,13865,182.0,10.4,6.6
178,25.1,13901,712.0,10.8,7.2
179,26.9,13903,653.0,10.3,6.6
180,24.2,13904,287.0,8.7,9.4
181,36.1,13905,927.0,13.6,10.7
183,18.1,14042,179.0,12.9,10.1
184,27.3,14065,91.0,11.4,8.8
185,19.2,14101,43.0,18.6,20.9
186,41.7,14129,62.0,6.5,0.0
187,34.6,14138,101.0,9.9,8.9
188,21.5,14171,50.0,18.0,16.0
189,4.7,14706,161.0,11.8,7.5
190,18.5,14719,119.0,11.5,2.5
191,16.7,14726,163.0,17.9,3.7
192,,14729,25.0,13.6,12.0
193,16.3,14731,25.0,4.0,4.0
194,15.7,14737,137.0,9.8,8.0
195,24.7,14741,45.0,13.3,4.4
196,26.1,14743,39.0,20.5,2.6
197,,14748,38.0,13.2,2.6
198,0.0,14753,32.0,6.3,9.4
199,35.7,14755,93.0,13.8,9.7
200,34.5,14760,661.0,11.3,7.6
201,24.8,14770,92.0,14.1,10.9
202,26.3,14772,185.0,19.6,10.3
203,65.8,14779,317.0,10.4,11.7
205,25.3,13021,1230.0,10.2,6.1
206,7.0,13026,32.0,0.0,3.1
207,12.8,13033,133.0,9.8,6.8
208,10.4,13034,40.0,0.0,15.0
209,,13071,36.0,11.1,0.0
210,23.8,13081,34.0,14.7,14.7
211,18.3,13092,100.0,11.1,3.0
212,15.9,13111,51.0,11.8,9.8
213,10.3,13118,144.0,8.4,7.6
214,40.1,13140,145.0,8.3,2.8
215,13.9,13147,35.0,8.6,0.0
216,19.9,13156,61.0,8.2,8.2
217,7.9,13160,50.0,4.0,4.0
218,17.5,13166,162.0,13.6,8.6
220,0.0,14814,58.0,13.8,10.3
221,,14816,12.0,0.0,0.0
222,,14825,20.0,10.0,0.0
223,11.5,14838,54.0,14.8,16.7
224,16.6,14845,523.0,9.6,7.1
225,68.4,14861,47.0,8.5,8.5
226,8.3,14864,45.0,13.3,4.4
227,28.4,14871,100.0,14.0,8.0
228,,14872,18.0,27.8,11.1
229,25.6,14889,40.0,7.5,0.0
230,19.6,14894,47.0,17.4,10.6
231,49.4,14901,731.0,12.2,9.6
232,19.9,14903,235.0,10.6,5.5
233,50.1,14904,660.0,9.4,5.3
234,29.3,14905,308.0,9.4,6.5
236,,13136,10.0,0.0,0.0
237,,13155,17.0,0.0,5.9
238,35.9,13411,114.0,5.5,4.4
239,35.3,13460,155.0,7.1,0.0
240,27.2,13464,36.0,13.9,2.8
241,17.4,13730,74.0,4.1,2.7
242,30.5,13733,147.0,4.1,2.0
243,17.3,13778,147.0,14.3,8.2
244,,13780,23.0,4.3,4.3
245,27.8,13801,43.0,7.0,11.6
246,13.1,13809,49.0,12.5,10.2
247,28.5,13815,505.0,12.5,8.3
248,31.8,13830,142.0,5.0,2.1
249,,13832,34.0,17.6,14.7
250,,13841,16.0,18.8,6.3
251,14.5,13843,54.0,7.4,5.6
252,,13844,25.0,12.0,4.0
254,11.2,12901,867.0,8.7,7.0
255,8.3,12903,44.0,2.3,0.0
256,25.2,12910,57.0,12.3,8.8
257,22.6,12912,58.0,13.8,6.9
258,29.5,12918,69.0,7.2,4.3
259,14.9,12919,94.0,5.3,4.3
260,4.0,12921,54.0,5.6,1.9
261,,12923,16.0,6.3,0.0
262,33.3,12934,25.0,4.0,12.0
263,39.2,12935,51.0,15.7,7.8
264,,12952,21.0,14.3,14.3
265,23.4,12958,42.0,11.9,2.4
266,15.5,12959,40.0,5.0,2.5
267,15.4,12962,142.0,5.7,3.5
268,20.1,12972,147.0,7.5,4.8
269,,12978,13.0,0.0,0.0
270,51.6,12979,74.0,12.2,8.1
