zipcode,prctForeign,%Uninsured,%vehicle,%foodStamp,%poverty,urban/rural
10001,16.230927481570376,6.31321789816561,77.5100695715855,51.2900737184982,17.5,1
10002,16.301731202622413,7.873642696168817,76.87685020722321,42.67440073755378,27.8,1
10003,12.463226874768791,5.066323744428981,77.21011770598547,48.01733401448025,9.9,1
10004,15.177398160315375,6.241787122207622,76.513671875,52.299605781865964,4.8,1
10005,16.21125143513203,5.7749712973593565,85.05678421996413,49.311136624569464,12.1,1
10006,15.685077815074763,4.882514494964907,83.88412892696859,54.19591089411047,6.7,1
10007,17.626112759643917,1.083086053412463,58.86965927528394,40.697329376854604,3.4,1
10009,11.426612485158614,8.501814411612234,77.30054025012686,50.27174367464339,22.6,1
10010,11.067145553052901,5.320508918244354,73.11275133621787,48.91337432276131,11.9,1
10011,11.292754543290215,4.592889453217999,74.96482535021717,57.01531624474248,9.7,1
10012,16.021356374307143,5.416530811868276,81.02737905369484,49.88588196935116,10.4,1
10013,14.838183687214206,6.213888199638439,70.47230943950832,42.302647903300134,10.6,1
10014,11.139715230104247,3.327612509534706,76.2136372058551,59.34083396898042,6.0,1
10016,12.693283641265563,3.9925461898342713,78.84310371637382,56.218777257949405,10.4,1
10017,16.010403435553137,4.875098288271941,79.38852627962899,61.295590636908,6.0,1
10018,28.407682775712516,7.0735233374638575,82.32551362377968,51.17719950433705,15.4,1
10019,15.40817618023035,5.834704467788888,83.3004809587637,59.39754461460575,11.8,1
10020,,,,,-666666666.0,1
10021,11.013897174167605,3.4157442389695323,66.5880503144654,54.25863326042288,6.8,1
10022,6.800608023263499,2.4816601678672923,68.23741197649177,58.221531954266084,4.9,1
10023,11.328701477440429,3.936524781534482,69.01794395827808,54.95879416983102,7.5,1
10024,9.56319639073074,5.360926925968966,67.34966196180761,49.232688495454234,7.7,1
10025,12.450774412196331,5.4161343792561,66.16126809097175,45.169293790977335,16.1,1
10026,12.140633108458744,8.905033731188377,73.47946725860155,38.4094447327452,28.8,1
10027,16.291328758577666,8.537117903930131,67.81604742164194,35.76575171553337,30.2,1
10028,9.067524115755626,5.101130588113266,67.31928731115778,53.59817446322995,5.9,1
10029,13.025903212401305,10.793215045774515,75.85889667861562,38.58407525405801,31.4,1
10030,11.68390539561236,12.61940839317478,74.87853021560886,39.1264246656565,30.8,1
10031,21.190233308104904,15.688242456151896,74.1886913342944,36.001513705617164,24.4,1
10032,23.595879029577933,15.043757616040768,72.44015288674312,31.872636060073745,27.2,1
10033,23.66350479335501,11.440028305224672,70.3765751329303,32.729600862635415,24.9,1
10034,24.470432982184708,12.777866260153353,66.45217475446321,36.04241086664695,25.1,1
10035,16.64960365051043,12.5837306578524,69.6353999357533,39.43019276333109,39.5,1
10036,19.971524223650285,6.476315080617232,84.37294091807598,59.90687651518066,12.4,1
10037,8.611774065234686,8.726133651551313,71.45948545323395,46.325576770087515,29.3,1
10038,15.704035874439462,5.255605381165919,77.35035363118855,45.05829596412556,18.0,1
10039,13.06468639656365,11.306468639656366,74.13298806991584,39.51803720286848,30.6,1
10040,25.008327226700423,11.818000133235627,68.19953596287704,35.72047165412031,22.8,1
10044,38.496291876225385,7.228710254880231,68.1843627542452,40.83198363310886,14.4,1
10065,12.079597346755108,3.196560114662845,67.31175620064509,54.89150361654611,4.6,1
10069,18.92563563372204,3.4219078570063086,66.52146857498444,50.25807684955076,9.1,1
10075,11.745814242281506,3.053140924078277,58.32434376123696,54.665353487774595,7.5,1
10103,,,,,-666666666.0,1
10110,,,,,-666666666.0,1
10111,,,,,-666666666.0,1
10112,,,,,-666666666.0,1
10115,,,,,-666666666.0,1
10119,,,,,-666666666.0,1
10128,11.473510459321334,3.774243722820049,69.54580901928094,51.02847347871631,6.7,1
10152,,,,,-666666666.0,1
10153,,,,,-666666666.0,1
10154,,,,,-666666666.0,1
10162,16.0415003990423,12.370311252992817,66.20879120879121,49.880287310454904,0.0,1
10165,,,,,-666666666.0,1
10167,,,,,-666666666.0,1
10168,,,,,-666666666.0,1
10169,,,,,-666666666.0,1
10170,,,,,-666666666.0,1
10171,,,,,-666666666.0,1
10172,,,,,-666666666.0,1
10173,,,,,-666666666.0,1
10174,,,,,-666666666.0,1
10177,,,,,-666666666.0,1
10199,,,,,-666666666.0,1
10271,,,,,-666666666.0,1
10278,,,,,-666666666.0,1
10279,,,,,-666666666.0,1
10280,16.292534281361096,4.814626714068055,71.27319257837492,48.75571356018283,5.8,1
10282,19.574090505767526,0.9937888198757764,70.17426273458445,43.19432120674357,4.8,1
10301,10.41018244388775,7.5558592069637385,21.054286972384727,36.33948227434905,23.7,1
10302,14.416037842099335,12.968802793107331,16.008316008316008,34.19303975672936,22.8,1
10303,12.12441983551828,9.416985587492874,11.152842983828899,33.07548245256901,25.2,1
10304,12.374566034146573,10.562609977647785,21.13797512495641,34.88134303514529,21.6,1
10305,10.28338911227217,8.195892422892639,9.758364312267657,35.06368429923194,12.1,1
10306,5.7331322345587035,4.99354909051262,6.628077612913745,36.83560175173993,8.8,1
10307,1.6563011456628478,5.865793780687397,5.464824120603015,33.57119476268412,7.6,1
10308,5.674366494216891,4.616601311497018,3.38369865928921,35.150097208949816,6.9,1
10309,3.4639409426462238,3.532681789653008,2.1896856003660368,33.61427418631758,9.0,1
10310,8.99381443298969,9.89278350515464,13.55452154562007,34.243298969072164,18.1,1
10311,,,,,-666666666.0,1
10312,2.6480287444012407,3.225541828682056,2.2813688212927756,34.96415153155814,6.6,1
