,zipcode,Foreign,Uninsured,vehicle,foodStamp,poverty,urban,TeenBirthRate,PrematureBirth,LowBirthWeight
0,10001,16.230927481570376,6.31321789816561,77.5100695715855,51.2900737184982,17.5,1,5.7,10.5,11.0
1,10002,16.30173120262241,7.873642696168817,76.8768502072232,42.67440073755378,27.8,1,17.7,8.9,6.6
2,10003,12.463226874768793,5.066323744428981,77.21011770598547,48.01733401448025,9.9,1,0.6,9.7,8.7
3,10004,15.177398160315375,6.241787122207622,76.513671875,52.29960578186597,4.8,1,0.0,8.7,6.7
4,10005,16.21125143513203,5.7749712973593565,85.05678421996413,49.311136624569464,12.1,1,0.0,10.7,6.0
5,10006,15.685077815074767,4.882514494964907,83.8841289269686,54.19591089411047,6.7,1,,10.6,14.2
6,10007,17.626112759643913,1.0830860534124631,58.86965927528394,40.69732937685461,3.4,1,0.0,10.4,7.0
7,10009,11.426612485158616,8.501814411612234,77.30054025012686,50.271743674643396,22.6,1,18.4,9.8,8.0
8,10010,11.0671455530529,5.320508918244354,73.11275133621787,48.913374322761314,11.9,1,1.2,9.8,8.6
9,10011,11.292754543290215,4.592889453217999,74.96482535021717,57.01531624474248,9.7,1,4.7,10.6,8.7
10,10012,16.021356374307143,5.4165308118682765,81.02737905369484,49.88588196935116,10.4,1,2.9,8.5,6.3
11,10013,14.838183687214205,6.213888199638438,70.47230943950831,42.302647903300134,10.6,1,2.0,11.0,7.9
12,10014,11.13971523010425,3.3276125095347058,76.2136372058551,59.34083396898042,6.0,1,3.2,9.8,7.8
13,10016,12.693283641265564,3.9925461898342713,78.84310371637382,56.21877725794941,10.4,1,4.7,9.4,9.3
14,10017,16.010403435553137,4.875098288271942,79.38852627962898,61.295590636907995,6.0,1,3.4,9.6,8.1
15,10018,28.40768277571252,7.0735233374638575,82.32551362377968,51.17719950433705,15.4,1,3.0,5.8,4.0
16,10019,15.40817618023035,5.834704467788888,83.3004809587637,59.39754461460575,11.8,1,15.8,9.6,8.9
17,10021,11.013897174167605,3.4157442389695323,66.5880503144654,54.258633260422876,6.8,1,0.6,11.3,8.1
18,10022,6.800608023263498,2.4816601678672923,68.23741197649177,58.221531954266084,4.9,1,2.3,10.7,8.0
19,10023,11.328701477440429,3.9365247815344815,69.01794395827807,54.95879416983103,7.5,1,3.8,8.4,7.7
20,10024,9.56319639073074,5.360926925968966,67.34966196180761,49.23268849545425,7.7,1,5.1,10.0,8.4
21,10025,12.450774412196331,5.4161343792561,66.16126809097175,45.16929379097734,16.1,1,8.6,10.1,8.8
22,10026,12.140633108458744,8.905033731188377,73.47946725860155,38.40944473274521,28.8,1,19.7,12.6,9.9
23,10027,16.291328758577663,8.537117903930131,67.81604742164194,35.76575171553337,30.2,1,9.5,11.6,10.3
24,10028,9.067524115755628,5.101130588113267,67.31928731115778,53.59817446322995,5.9,1,6.6,8.9,7.1
25,10029,13.025903212401305,10.793215045774515,75.85889667861562,38.58407525405801,31.4,1,23.7,13.1,10.4
26,10030,11.683905395612358,12.61940839317478,74.87853021560886,39.1264246656565,30.8,1,26.7,15.5,11.9
27,10031,21.190233308104904,15.688242456151896,74.1886913342944,36.001513705617164,24.4,1,22.2,10.6,8.0
28,10032,23.595879029577926,15.043757616040768,72.44015288674312,31.87263606007375,27.2,1,30.2,12.1,8.6
29,10033,23.663504793355013,11.440028305224672,70.3765751329303,32.729600862635415,24.9,1,25.7,10.6,8.5
30,10034,24.47043298218471,12.77786626015335,66.45217475446321,36.042410866646954,25.1,1,22.8,9.7,6.7
31,10035,16.64960365051043,12.5837306578524,69.6353999357533,39.43019276333109,39.5,1,30.6,13.3,10.5
32,10036,19.971524223650285,6.4763150806172325,84.37294091807598,59.906876515180656,12.4,1,7.9,9.1,6.2
33,10037,8.611774065234686,8.726133651551311,71.45948545323395,46.325576770087515,29.3,1,24.2,12.2,8.9
34,10038,15.704035874439464,5.2556053811659185,77.35035363118854,45.05829596412557,18.0,1,6.0,11.2,6.8
35,10039,13.064686396563651,11.306468639656364,74.13298806991585,39.51803720286848,30.6,1,26.2,13.3,8.9
36,10040,25.008327226700427,11.818000133235627,68.19953596287704,35.72047165412031,22.8,1,24.7,11.1,7.9
37,10044,38.49629187622538,7.228710254880232,68.1843627542452,40.83198363310886,14.4,1,3.7,10.4,5.0
38,10065,12.079597346755106,3.1965601146628453,67.31175620064509,54.8915036165461,4.6,1,2.2,9.9,8.9
39,10075,11.745814242281506,3.053140924078277,58.32434376123696,54.6653534877746,7.5,1,1.6,10.6,7.5
40,10128,11.473510459321338,3.774243722820049,69.54580901928094,51.028473478716315,6.7,1,2.5,10.0,7.7
41,10280,16.292534281361096,4.814626714068055,71.27319257837492,48.755713560182826,5.8,1,0.0,7.5,6.3
42,10301,10.41018244388775,7.555859206963738,21.054286972384727,36.339482274349045,23.7,1,21.1,11.4,9.0
43,10302,14.416037842099335,12.968802793107333,16.008316008316008,34.19303975672936,22.8,1,39.3,16.7,10.4
44,10303,12.12441983551828,9.416985587492873,11.1528429838289,33.07548245256901,25.2,1,25.6,13.3,10.4
45,10304,12.374566034146572,10.562609977647783,21.13797512495641,34.881343035145285,21.6,1,21.5,11.6,9.5
46,10305,10.28338911227217,8.195892422892639,9.758364312267656,35.06368429923194,12.1,1,10.5,8.5,6.5
47,10306,5.733132234558704,4.99354909051262,6.628077612913746,36.83560175173993,8.8,1,7.6,10.1,6.0
48,10307,1.6563011456628478,5.865793780687397,5.464824120603014,33.57119476268412,7.6,1,1.9,8.7,6.9
49,10308,5.674366494216891,4.616601311497019,3.3836986592892098,35.150097208949816,6.9,1,2.8,10.6,7.6
50,10309,3.463940942646224,3.5326817896530085,2.1896856003660368,33.61427418631758,9.0,1,4.7,10.0,7.9
51,10310,8.993814432989689,9.892783505154641,13.55452154562007,34.243298969072164,18.1,1,26.0,12.1,9.0
52,10312,2.6480287444012407,3.225541828682056,2.281368821292776,34.964151531558144,6.6,1,2.6,10.2,6.4
53,10314,6.463848281311735,5.697352824970367,5.182896191337554,35.329909126827346,9.4,1,6.2,10.9,7.3
54,10451,16.612479032491873,12.59085920188863,64.72365897599815,38.28822299074323,36.2,1,35.7,11.6,8.5
55,10452,24.89905429816173,14.161619381574752,65.16256995112276,34.221921156093934,39.4,1,37.6,11.6,8.6
56,10453,23.370510209150982,13.526504048884695,65.79219307310244,33.83178498683492,43.3,1,34.9,11.9,8.3
57,10454,17.294159946581747,16.819045662334993,68.99703359255993,32.970363141404285,46.9,1,36.5,12.3,8.7
58,10455,19.413731036256106,15.301900465181514,59.93890020366599,33.25229668762711,42.7,1,37.7,10.9,8.7
59,10456,20.066442315989303,11.600440072482526,60.62225313814146,32.11126930710157,40.8,1,41.3,12.4,10.2
60,10457,24.311579516281586,13.337386839616268,59.93848366221938,32.54830428320497,39.2,1,39.8,13.9,10.4
61,10458,23.72151093050013,15.012607407770078,65.76170376055256,33.04854464001567,37.5,1,33.1,12.8,10.0
62,10459,19.51971983657133,14.583507045776704,59.63166676966814,33.08179771533394,38.0,1,36.1,11.8,9.4
63,10460,19.541698470115822,12.358543789201207,36.43937942922812,33.14306574187768,41.6,1,31.7,13.2,10.5
64,10461,12.643518057904688,10.773057407223163,24.84787018255578,37.570391005870064,14.8,1,20.4,11.4,9.2
65,10462,16.245157192759603,10.179739599872976,46.274704374431494,37.393458240711325,19.9,1,25.4,10.7,9.3
66,10463,13.610673067530039,8.521149364332864,39.28672694622097,38.52659195891539,17.8,1,16.7,10.3,8.2
67,10464,2.511627906976744,8.0,7.829742511823437,43.95348837209303,4.1,1,8.8,9.8,7.1
69,10465,5.530589543937708,6.9988876529477215,11.736153688943391,34.80978865406007,13.5,1,13.3,11.2,7.7
70,10466,15.667527392002235,11.68958057087026,28.79947446214485,32.180891897550424,19.8,1,24.2,12.4,10.3
71,10467,20.73560095104081,13.18744237954292,47.10096093847498,34.800329952933176,29.9,1,29.2,11.8,9.3
72,10468,25.698664230774323,15.295815295815293,65.34542743538768,33.73843282100163,31.6,1,36.2,11.7,8.9
73,10469,14.337742799732087,9.418955123911589,20.91603551841212,30.44903996427774,14.8,1,21.4,10.8,9.8
74,10470,13.469191711266642,10.113901468368327,26.406295540658693,39.79689858652395,12.4,1,26.5,10.8,9.1
75,10471,7.953335493727143,4.722003610943938,17.378416950268967,39.87778343595204,10.6,1,3.3,7.2,6.5
76,10472,24.163428637708048,16.956156121324597,52.78683434249341,31.543234935916022,35.7,1,35.4,12.4,8.4
77,10473,10.152382801125883,8.319583292892037,32.291435421569055,33.818628878320226,29.6,1,24.3,13.5,11.4
78,10474,27.155475650746503,15.969670913780973,48.40465001236706,27.687016337059326,41.8,1,34.9,12.7,8.2
79,10475,7.526425171512213,5.119667478602874,28.25046040515653,41.70819459652729,10.7,1,11.7,14.5,12.5
81,10501,1.3866231647634584,1.5497553017944536,0.0,31.40293637846656,1.1,1,0.0,11.5,7.7
83,10502,7.709051333212407,4.788681298748413,0.4209049456331112,34.08307636495556,2.0,1,0.0,5.4,6.2
84,10504,3.1760091104643804,2.6192585094267997,0.5201204489460717,32.5066430469442,1.8,1,0.0,6.7,7.7
87,10505,0.4419889502762431,4.530386740331491,0.0,32.928176795580114,0.8,1,,7.7,7.1
88,10506,2.716753312091229,0.9894348482307562,0.0,32.886131142042586,7.5,1,0.0,9.9,5.1
91,10507,18.44292170870389,12.552850269718617,2.1144278606965177,30.19390581717452,4.1,1,7.0,7.8,5.4
93,10509,8.635872084041402,10.62361604614038,5.675995270003941,34.7906689324888,5.8,1,6.3,11.9,7.2
96,10510,2.1682816847356805,2.350570852921424,0.5521201413427562,33.25338194377818,1.8,1,0.0,11.7,7.5
98,10511,5.965532479010164,4.463102076889085,2.2015241320914485,35.660627485638535,6.4,1,6.6,9.4,7.8
99,10512,3.493380124421757,5.854203222204497,2.4113594353890098,36.401339926623066,4.8,1,4.3,14.4,9.0
101,10514,4.295397225725093,2.151639344262295,0.25862068965517243,31.11601513240857,3.2,1,0.0,11.2,10.4
103,10516,2.9894276339773973,4.702880058330295,3.2402619786280584,39.55523149835946,3.9,1,0.0,12.3,7.8
