,insured,zipcode,uninsured,totalPop,%Insured,%Uninsured,vehicle_none,vehicle_totalpop,%vehicle,foodStamp,%foodstamp,poverty,%poverty,citizen_pop,foreign_pop,%Foreign,urban/rural
0,21859,10001,1473,23332,93.68678210183438,6.31321789816561,10584,13655,77.5100695715855,11967,51.2900737184982,22359.0,95.82976170066861,23332.0,3787.0,16.230927481570376,1
1,71629,10002,6149,78096,91.71916615447654,7.873642696168817,25969,33780,76.87685020722321,33327,42.67440073755378,77429.0,99.1459229666052,78096.0,12731.0,16.301731202622413,1
2,53737,10003,2876,56767,94.66239188260785,5.066323744428981,24664,31944,77.21011770598547,27258,48.01733401448025,47093.0,82.95840893476843,56767.0,7075.0,12.463226874768791,1
3,2854,10004,190,3044,93.75821287779237,6.241787122207622,1567,2048,76.513671875,1592,52.299605781865964,3044.0,100.0,3044.0,462.0,15.177398160315375,1
4,8202,10005,503,8710,94.16762342135476,5.7749712973593565,5692,6692,85.05678421996413,4295,49.311136624569464,8710.0,100.0,8710.0,1412.0,16.21125143513203,1
5,3117,10006,160,3277,95.11748550503509,4.882514494964907,2056,2451,83.88412892696859,1776,54.19591089411047,3277.0,100.0,3277.0,514.0,15.685077815074763,1
6,5936,10007,73,6740,88.07121661721068,1.083086053412463,2177,3698,58.86965927528394,2743,40.697329376854604,5868.0,87.06231454005935,6740.0,1188.0,17.626112759643917,1
7,54558,10009,5084,59799,91.23563939196308,8.501814411612234,25898,33503,77.30054025012686,30062,50.27174367464339,59661.0,99.769226910149,59799.0,6833.0,11.426612485158614,1
8,31008,10010,1748,32854,94.38120168016071,5.320508918244354,14363,19645,73.11275133621787,16070,48.91337432276131,30219.0,91.97966762038108,32854.0,3636.0,11.067145553052901,1
9,47787,10011,2315,50404,94.80795174986112,4.592889453217999,24509,32694,74.96482535021717,28738,57.01531624474248,49360.0,97.92873581461788,50404.0,5692.0,11.292754543290215,1
10,23207,10012,1329,24536,94.58346918813173,5.416530811868276,12193,15048,81.02737905369484,12240,49.88588196935116,23299.0,94.95842843169221,24536.0,3931.0,16.021356374307143,1
11,25737,10013,1753,28211,91.23037113182801,6.213888199638439,10549,14969,70.47230943950832,11934,42.302647903300134,26385.0,93.5273474885683,28211.0,4186.0,14.838183687214206,1
12,30300,10014,1047,31464,96.30053394355454,3.327612509534706,16453,21588,76.2136372058551,18671,59.34083396898042,31028.0,98.6142893465548,31464.0,3505.0,11.139715230104247,1
13,48240,10016,2014,50444,95.63079850923796,3.9925461898342713,25352,32155,78.84310371637382,28359,56.218777257949405,49060.0,97.25636349218935,50444.0,6403.0,12.693283641265563,1
14,15727,10017,806,16533,95.12490171172806,4.875098288271941,9244,11644,79.38852627962899,10134,61.295590636908,16533.0,100.0,16533.0,2647.0,16.010403435553137,1
15,8993,10018,685,9684,92.86451879388682,7.0735233374638575,5650,6863,82.32551362377968,4956,51.17719950433705,9678.0,99.93804213135068,9684.0,2751.0,28.407682775712516,1
16,37134,10019,2305,39505,93.99822807239589,5.834704467788888,21130,25366,83.3004809587637,23465,59.39754461460575,39327.0,99.54942412352867,39505.0,6087.0,15.40817618023035,1
17,0,10020,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
18,43335,10021,1546,45261,95.74468085106383,3.4157442389695323,16940,25440,66.5880503144654,24558,54.25863326042288,44727.0,98.82017631073109,45261.0,4985.0,11.013897174167605,1
19,29484,10022,751,30262,97.42911902716278,2.4816601678672923,12888,18887,68.23741197649177,17619,58.221531954266084,29753.0,98.31802260260393,30262.0,2058.0,6.800608023263499,1
20,57909,10023,2374,60307,96.02367884325203,3.936524781534482,23424,33939,69.01794395827808,33144,54.95879416983102,58972.0,97.78632662874956,60307.0,6832.0,11.328701477440429,1
21,54947,10024,3137,58516,93.90081345273089,5.360926925968966,22713,33724,67.34966196180761,28809,49.232688495454234,57923.0,98.98660195502084,58516.0,5596.0,9.56319639073074,1
22,88446,10025,5130,94717,93.37922442644931,5.4161343792561,30720,46432,66.16126809097175,42783,45.169293790977335,90292.0,95.32818818163582,94717.0,11793.0,12.450774412196331,1
23,34839,10026,3432,38540,90.39699014011417,8.905033731188377,13241,18020,73.47946725860155,14803,38.4094447327452,38142.0,98.96730669434353,38540.0,4679.0,12.140633108458744,1
24,58495,10027,5474,64120,91.22738615096694,8.537117903930131,17504,25811,67.81604742164194,22933,35.76575171553337,57591.0,89.8175296319401,64120.0,10446.0,16.291328758577666,1
25,45734,10028,2459,48205,94.87397572865885,5.101130588113266,19874,29522,67.31928731115778,25837,53.59817446322995,48193.0,99.97510631677213,48205.0,4371.0,9.067524115755626,1
26,69947,10029,8571,79411,88.08225560690585,10.793215045774515,23913,31523,75.85889667861562,30640,38.58407525405801,76633.0,96.50174409086902,79411.0,10344.0,13.025903212401305,1
27,26527,10030,3831,30358,87.38059160682522,12.61940839317478,9863,13172,74.87853021560886,11878,39.1264246656565,30350.0,99.97364780288557,30358.0,3547.0,11.68390539561236,1
28,51225,10031,9535,60778,84.28214156438185,15.688242456151896,23158,31215,74.1886913342944,21881,36.001513705617164,60518.0,99.57221362993188,60778.0,12879.0,21.190233308104904,1
29,53477,10032,9506,63189,84.63023627530109,15.043757616040768,21606,29826,72.44015288674312,20140,31.872636060073745,62235.0,98.49024355504913,63189.0,14910.0,23.595879029577933,1
30,52549,10033,6790,59353,88.53638400754807,11.440028305224672,19324,27458,70.3765751329303,19426,32.729600862635415,58347.0,98.30505618924064,59353.0,14045.0,23.66350479335501,1
31,38267,10034,5616,43951,87.06741598598438,12.777866260153353,13735,20669,66.45217475446321,15841,36.04241086664695,43827.0,99.71786762531,43951.0,10755.0,24.470432982184708,1
32,29229,10035,4302,34187,85.49741129669172,12.5837306578524,8671,12452,69.6353999357533,13480,39.43019276333109,33451.0,97.84713487583,34187.0,5692.0,16.64960365051043,1
33,24304,10036,1683,25987,93.52368491938276,6.476315080617232,15366,18212,84.37294091807598,15568,59.90687651518066,25980.0,99.97306345480432,25987.0,5190.0,19.971524223650285,1
34,18130,10037,1755,20112,90.14518695306285,8.726133651551313,5944,8318,71.45948545323395,9317,46.325576770087515,19859.0,98.74204455051711,20112.0,1732.0,8.611774065234686,1
35,21113,10038,1172,22300,94.67713004484305,5.255605381165919,8968,11594,77.35035363118855,10048,45.05829596412556,20927.0,93.84304932735425,22300.0,3502.0,15.704035874439462,1
36,24344,10039,3106,27471,88.61708711004331,11.306468639656366,8016,10813,74.13298806991584,10856,39.51803720286848,27414.0,99.79250846347057,27471.0,3589.0,13.06468639656365,1
37,38114,10040,5322,45033,84.63571158927897,11.818000133235627,14697,21550,68.19953596287704,16086,35.72047165412031,43363.0,96.29160837607976,45033.0,11262.0,25.008327226700423,1
38,9427,10044,848,11731,80.35973062824993,7.228710254880231,3654,5359,68.1843627542452,4790,40.83198363310886,10275.0,87.58844088313018,11731.0,4516.0,38.496291876225385,1
39,29022,10065,959,30001,96.73677544081863,3.196560114662845,12104,17982,67.31175620064509,16468,54.89150361654611,29842.0,99.4700176660778,30001.0,3624.0,12.079597346755108,1
40,5052,10069,179,5231,96.57809214299368,3.4219078570063086,2138,3214,66.52146857498444,2629,50.25807684955076,5231.0,100.0,5231.0,990.0,18.92563563372204,1
41,22317,10075,713,23353,95.56373913415835,3.053140924078277,8110,13905,58.32434376123696,12766,54.665353487774595,23030.0,98.61688005823663,23353.0,2743.0,11.745814242281506,1
42,0,10103,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
43,0,10110,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
44,0,10111,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
45,0,10112,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
46,0,10115,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
47,0,10119,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
48,60538,10128,2378,63006,96.08291273846935,3.774243722820049,25862,37187,69.54580901928094,32151,51.02847347871631,62663.0,99.45560740246961,63006.0,7229.0,11.473510459321334,1
49,0,10152,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
50,0,10153,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
51,0,10154,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
52,1098,10162,155,1253,87.62968874700718,12.370311252992817,482,728,66.20879120879121,625,49.880287310454904,1253.0,100.0,1253.0,201.0,16.0415003990423,1
53,0,10165,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
54,0,10167,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
55,0,10168,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
56,0,10169,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
57,0,10170,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
58,0,10171,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
59,0,10172,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
60,0,10173,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
61,0,10174,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
62,0,10177,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
63,0,10199,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
64,0,10271,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
65,0,10278,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
66,0,10279,0,0,,,0,0,,0,,0.0,,0.0,0.0,,1
67,9371,10280,474,9845,95.18537328593195,4.814626714068055,4456,6252,71.27319257837492,4800,48.75571356018283,9845.0,100.0,9845.0,1604.0,16.292534281361096,1
